,Samples,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
26,14156,68.0,48.1,1.71,20.9,36,65.1,175,17.15,0.19,10.55,0.14,9.55,10.16,0.72,0.53,0.49,,36.2,,,,23.2,4.8,13.8,,,,314,2.66,6.6,,,,21.5,3.05,,,,,,
27,14163,57.0,47.97,1.77,25,57,79,,17.57,0.26,10.41,0.14,9.18,11.15,0.68,0.58,0.52,,36,400,1100,140,,,,,,,,,,,,,28,,,,,,,
28,14240,46.0,47.77,1.67,28,52,67,,17.99,0.23,10.02,0.14,9.47,11.25,0.70,0.54,0.55,,33,320,1170,390,,,,,,,,,,,,,23,,,,,,,
29,14259,85.0,48.16,1.73,28,62,77,,17.60,0.26,10.41,0.14,9.26,11.25,0.61,0.51,0.53,,38,440,1100,150,,,,,,,,,,,,,30,,,,,,,
30,14260,72.0,47.11,1.87,22.8,,66.5,172,16.97,45,11.08,0.17,9.42,10.95,0.68,0.49,0.47,0.12,38.1,450,,,23.8,3.8,12.1,,,,28.9,2.40,8.3,,,,21.7,3.06,,,,,164,
31,15012,66.0,46.77,1.46,28,114,,,16.75,0.30,12.40,0.17,10.35,10.95,0.45,0.21,0.22,,40,,,,9.9,,4.9,,,,,,,,,,,,,,,,,
32,15013,77.0,46.94,1.72,,,,,14.46,0.35,14.98,0.21,10.35,10.38,0.44,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
33,15014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15020,70.0,46.56,1.75,28,114,26,73,13.73,,15.21,0.20,10.37,10.54,0.41,0.20,0.18,0.06,40,,320,,9.9,1.2,4.9,1.5,,,12.9,1.4,2.3,,,,9.5,1.3,350,,,,,
35,15030,68.0,,1.70,28,120,27,75,14.1,0.39,270,0.19,12.0,10.20,0.45,0.23,320,,42,,270,,9.5,1.1,4.8,1.6,,,12.9,1.3,2.4,,,,8.7,1.3,320,,,,,
36,15040,94.0,,1.70,26,170,26,68,14.20,0.36,14.30,0.18,11.0,10.60,0.43,0.21,350,,41,,250,,9.1,1.1,4.8,1.6,,,12.7,1.3,2.2,,,,8.1,1.2,350,,,,,
37,15070,52.0,46.95,1.60,,,,,12.70,0.46,16.29,0.21,10.75,10.49,0.33,0.092,0.130,0.07,46.1,170,,,,,,,,,,,,,,,,,,,,,,
38,15080,68.0,48.13,1.501,,116,,,13.85,0.44,16.21,0.2,11.14,11.19,0.36,0.15,,,46,209,185,120,,,,,,,,,,,,,,,,,,,,
39,15090,74.0,46.47,1.31,21,80,32,,17.47,0.24,11.57,0.17,10.50,11.77,0.41,0.18,0.16,,39,365,,155,,,,,,,,,,,,,7.7,,,,,,,
40,15100,70.0,46.29,1.31,21,94,28,,17.70,0.22,11.53,0.16,10.55,11.54,0.41,0.19,0.16,,44,295,350,170,,,,,,,,,,,,,9.4,,,,,,,
41,15200,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15210,60.0,46.35,1.34,22,80,,,17.73,0.23,11.66,0.16,10.48,11.68,0.44,0.19,0.19,,40,325,315,150,,,,,,,,,,,,,7.7,,,,,,,
43,15220,63.0,46.56,1.27,20,84,24,,17.54,0.23,11.32,0.15,10.69,11.87,0.45,0.19,0.16,,44,320,300,160,,,,,,,,,,,,,7.2,,,,,,,
44,15230,71.0,46.40,1.35,22,82,28,,17.14,0.23,11.53,0.16,10.47,11.88,0.41,0.19,0.15,,42,315,290,155,,,,,,,,,,,,,6.8,,,,,,,
45,15240,45.0,,,24.7,,27.2,71.8,39.,27,274,14,9.3,1.2,3.,,1.2,,39.6,270,274,140,9.34,1.25,3.84,0.96,,45,11.65,1.43,2.43,15.6,3.56,1.61,9.23,1.26,,,,,,
46,15250,75.0,47.02,1.49,24,85,40,,16.28,0.30,12.00,0.16,10.31,11.25,0.54,0.22,0.24,,46,405,340,160,,,,,,,,,,,,,11,,,,,,,
47,15260,77.0,,1.40,,81,,,16.1,0.36,12.09,0.16,,11.89,0.45,,,,42,250,260,136,,,,,,,,,,,,,,,,,,,,
48,15270,63.0,46.70,1.47,,80,,,16.51,0.38,12.15,0.16,10.55,11.29,0.43,0.21,0.21,0.08,40,231,265,137,,,,,,,,,,,,,,,,,,,,
49,15290,63.0,47.21,1.44,24,103,42,,16.40,0.29,11.75,0.17,10.25,11.47,0.53,0.21,0.25,,46,300,350,160,,,,,,,,,,,,,12,,,,,,,
50,15300,48.0,49.91,1.17,,97,,,14.53,23,14.05,0.19,12.12,10.70,0.35,0.16,0.15,0.04,51,234,190,110,,,,,,,,,,,,,,,,,,,,
51,15310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,15400,5.6,45.35,0.40,,,19.40,51.0,7.52,0.44,20.1,0.22,17.08,8.42,0.13,,0.9,,,,,,,,,,,,31.91,1.003,,12.50,,,6.41,0.952,,,,,,
53,15410,43.0,,1.09,23,103,18,51,15.08,0.37,13.36,0.18,11.74,10.91,0.36,0.16,0.17,,43,,180,,6.4,0.75,3.0,0.9,,,8.4,1.0,1.5,,,,5.9,0.90,,,,,,
54,15420,,45.18,1.14,0.07,,10.2,28.0,15.06,0.04,13.72,0.18,12.14,11.11,0.36,0.11,0.09,,,,121,,2.68,,1.49,,,15.0,4.3,0.71,0.87,5.7,1.39,0.59,3.57,0.55,,,,,,
55,15430,39.0,46.80,1.325,24.5,57.5,33.5,,16.35,0.30,11.87,0.17,10.89,11.23,0.49,0.26,0.24,,42,209.5,383.5,123,,,,,,,,,,,,,12,,,,,,,
56,15470,34.0,46.10,1.58,,128,,,12.91,0.47,16.24,0.21,11.11,10.42,0.32,0.12,0.12,0.07,46,179,165,115,,,,,,,,,,,,,,,,,,,,
57,15500,51.0,,1.81,,129,,,12.20,0.49,16.72,0.22,10.80,10.25,0.37,0.16,0.17,0.07,50,224,220,,,,,,,,,,,,,,,,,,,,,
58,15510,,,1.90,,131,,,12.40,0.45,17.40,0.22,12.00,10.00,0.37,0.14,,,47,197,210,115,,,,,,,,,,,,,,,,,,,,
59,15530,27.0,46.42,2.169,36,182,,,9.86,0.56,20.7,0.25,11.34,9.38,0.31,0.87,,,50,,,,4.4,,1.8,,,,,,,,,,,,,,,,,
60,15600,29.0,45.05,1.98,35.1,200,11.3,29,10.20,0.56,19.79,0.26,10.89,9.87,0.29,0.10,0.11,0.06,48.9,,135,,4.9,0.60,1.52,0.46,,,6.3,1.01,1.33,9.7,1.0,,5.2,0.9,170,,,,,
61,60050,57.0,44.8,0.44,7.83,19,10.06,21.0,28.5,25,4.5,0.04,5.05,16.2,00.46,0.14,0.5,,21.3,250,108,165,3.89,0.526,1.76,0.46,,,4.88,1.119,1.04,,,,3.42,0.501,,,,,,
62,60500,80.0,45.63,0.59,8.8,14,10,,27.14,72,5.44,0.70,5.52,15.44,00.40,0.114,0.14,,37,720,143,121,,,,,,,,,,,,,,,,,,,,
63,60600,85.0,45.35,0.60,9.22,,12.52,32.6,26.75,,5.49,0.07,6.27,15.46,00.38,0.11,0.13,0.07,31.4,,,,4.6,,,,,21.1,3.9,1.13,1.22,8.02,,,3.99,0.58,,,,,,
64,61140,56.0,45.20,0.58,9.5,20,,,26.40,0.13,5.29,0.70,6.10,15.32,00.52,0.14,0.12,,,310,120,165,,,,,,,,,,,,,2.6,,,,,,,
65,61160,82.0,,0.58,9.4,,11.9,32,26.26,0.98,5.25,0.65,6.35,16.23,00.43,0.10,0.5,,22.2,305,,,4.2,0.6,1.8,,,,5.6,1.20,1.27,,,,3.9,0.56,,,,,,
66,61180,82.0,,0.66,9.26,21,12.43,33.9,27.10,0.12,5.47,18,5.78,15.56,00.51,0.25,0.18,,31.5,435,139,180,4.69,0.654,2.09,0.54,,,5.92,1.185,1.28,,,,4.17,0.593,,,,,,
67,61220,9.2,,0.49,7.0,,9.1,22.7,28.25,,4.55,0.06,5.02,16.21,00.42,0.09,0.10,0.06,17.0,,,,3.0,,,,,14.5,4.35,1.28,0.90,5.76,1.1,,3.01,0.44,,,,,,
68,61240,47.0,,0.57,9.1,18,11.8,30,27.15,,5.33,0.07,5.75,15.69,00.55,0.10,0.13,0.07,22.8,,130,,3.3,0.4,1.8,0.55,,,5.0,1.10,1.1,5.6,,,3.8,0.50,,,,,,
69,61280,69.0,44.65,0.54,11.5,27,,,27.12,44,5.07,0.6,,16.00,00.45,0.13,,,26,440,115,135,,,,,,,,,,,,,3.3,,,,,,,
70,61500,53.0,44.66,0.56,10.0,,12.1,36,26.50,,5.31,0.07,6.08,15.33,00.41,0.11,0.11,0.08,35,,160,,4.3,0.56,2.2,,,,,1.22,1.2,9.1,,,4.2,0.69,,,,,,
71,62230,91.0,,,9.28,22,11.00,29.7,26.5,48,5.60,16,6.4,14.5,00.44,,731,566,35.3,485,129,165,4.17,0.527,1.98,0.48,,,5.29,1.129,1.13,,,,3.70,0.518,,,,,,
72,62240,100.,44.65,0.56,9.7,21,12.0,32,27.00,,5.49,0.7,5.84,15.95,00.44,0.13,0.10,,25.1,,130,,3.2,0.5,1.9,0.54,,,5.4,1.07,1.1,6.5,,,3.6,0.49,,,,,,
73,62280,76.0,,0.60,8.9,16,10.6,26,26.70,0.11,5.50,0.67,6.6,15.90,00.47,0.12,0.4,,19.7,,120,,2.8,0.4,1.6,0.55,,,4.6,1.15,1.00,5.4,,,3.3,0.44,,,,,,
74,63320,47.0,,0.35,8.2,15,9.3,24,28.93,0.94,4.67,0.68,6.96,15.67,00.57,0.77,0.4,,19.8,,130,,3.3,0.5,1.3,0.44,,,4.1,1.21,0.78,5.9,,,3.1,0.45,,,,,,
75,63340,54.0,,0.60,,,,,29.00,0.95,4.53,0.67,7.30,12.45,00.56,0.15,,,,,,,,,,398,,,,,,,,,,,,,,,,
76,63500,46.0,,0.53,7.43,,0.99,20,27.72,,4.72,0.70,5.25,15.87,00.46,0.9,0.10,,6.19,,,190,0.56,0.03,,,,,0.45,1.06,0.13,0.94,,,0.68,0.10,,,,,,
77,64420,83.0,44.88,0.55,7.9,,12.3,35,27.60,,5.03,0.06,5.35,15.81,00.39,0.10,0.13,0.07,25.0,,115,,4.0,0.50,,,,,5.7,1.14,1.1,6.8,1.6,,4.0,0.57,,,,,,
78,64500,61.0,,0.53,10.4,,11.7,30.3,27.4,29,4.16,,4.27,16.6,00.47,0.11,0.5,,21.0,290.0,,,4.7,,,,,20.3,5.48,1.18,1.18,7.3,1.5,,3.74,0.54,,,,,,
79,64800,71.0,44.90,0.47,5.6,28,12.8,37.1,27.70,0.11,5.01,,5.69,15.70,00.51,0.22,0.16,,27,,175,,3.50,,2.17,0.61,,16.7,4.95,0.99,1.01,6.25,1.44,0.66,4.00,0.62,,,,,,
80,64810,54.0,44.6,0.49,9.27,21,14.21,38.3,26.9,0.11,5.59,0.40,5.50,15.5,00.50,0.19,0.6,,35.5,465,159,165,5.67,0.758,2.68,0.70,,,6.82,1.185,1.44,,,,4.83,0.684,,,,,,
81,65500,38.0,45.50,0.70,,,,,26.07,29,5.96,0.79,6.28,14.97,00.44,0.15,0.16,,,290,175,162,,,,,,,,,,,,,,,,,,,,
82,65510,55,,,10.59,24,15.90,42.7,25.3,37,5.82,16,6.7,14.2,00.47,,847,61,26.3,370,172,165,6.15,0.834,2.84,0.74,,,7.56,1.233,1.59,,,,5.35,0.751,,,,,847,610
83,65700,106.,45.03,0.64,10.11,,14.7,38.3,26.47,51,5.87,0.08,6.02,15.29,00.41,0.12,0.13,0.09,31.7,510.0,,,5.4,,,,,25.4,7.01,1.27,1.46,9.6,,,5.05,0.71,,,,,,
84,65900,99.0,,0.61,11,25,15.1,37,26.5,0.11,5.8,0.07,6.2,15.0,00.47,0.11,0.7,,30,,140,,4.7,0.62,2.5,0.80,,26,6.7,1.22,1.4,8.2,,,4.9,0.70,,,,,,
85,66030,102.,,,9.95,22,13.65,36.8,26.7,48,5.80,15,6.8,14.6,00.44,,777,58,34.2,480,144,155,5.01,0.685,2.49,0.70,,,6.50,1.192,1.37,,,,4.55,0.642,,,,,777,582
86,66040,90.0,45.07,0.64,10,22,,,26.39,33,6.08,0.08,6.14,15.29,00.38,0.12,0.15,0.09,21,330,120,145,,,,,,,,,,,,,3.6,,,,,,,
87,66080,80.0,45.38,0.67,10,19,,,26.22,34,5.85,0.08,6.39,15.28,00.39,0.13,0.13,0.09,21,348,130,210,,,,,,,,,,,,,4.2,,,,,,,
88,67460,25.0,44.77,0.37,7.8,17,6.7,18,28.99,,4.35,0.07,4.20,16.85,00.44,0.06,0.05,,13.0,,90,,1.8,0.3,1.0,,,,3.0,1.10,0.59,3.6,,,2.1,0.28,,,,,,
89,67480,31.0,,0.41,7.1,14,7.3,18,29.01,,4.66,0.06,4.20,16.54,00.42,0.06,0.13,0.03,14.9,,90,,1.9,0.3,1.1,0.49,,,3.3,1.16,0.66,3.9,,,2.4,0.32,,,,,,
90,67510,8.8,,,8.18,20,3.42,9.24,28.6,55,4.10,15,4.0,15.7,00.39,,500,49,7.18,55,45,155,1.24,0.192,0.51,0.158,,,1.71,0.968,0.39,,,,1.34,0.191,,,,,500,493
91,67600,45.0,,0.42,6.6,,6.7,16.5,28.93,18,4.09,0.06,4.75,16.40,00.44,0.07,0.06,0.04,14.4,180.0,,,1.99,,,,,11.1,3.10,1.29,0.62,4.3,0.86,,2.28,0.33,,,,,,
92,67700,39,,0.44,6.9,27,7.3,18,28.48,,4.17,0.06,4.92,16.87,00.52,0.07,0.08,,14.9,,90,,1.9,0.3,1.1,0.49,,,3.3,1.15,0.66,2.4,,,,0.32,,,,,,
93,67960,20.0,,,7.76,,10.14,27.6,16.,21,4.56,17,3.7,16.1,00.52,,624,,16.2,215,127,175,3.77,0.532,1.88,0.51,,,4.77,1.238,1.04,,,,3.53,0.519,,,,,,
94,68120,61.0,,0.6,9.8,,13.1,33.0,27.6,,5.2,,6.0,17.5,02.,,0.7,,30.0,,140,,4.4,0.5,2.5,,,25,6.6,1.3,1.3,,,,4.5,0.7,,,,,,
95,68500,85.0,,0.58,9.2,,13.6,35.5,26.65,56,5.48,0.07,6.28,15.35,00.47,0.11,0.12,0.08,34.7,560,,,4.5,0.8,2.4,,,,6.2,1.20,1.28,,,,4.4,0.62,,,,,,
96,68820,84.0,44.5,0.5,9.8,,13.3,33.2,26.2,,5.4,0.12,6.13,15.3,00.48,0.16,0.7,,28.5,,160,,4.4,0.5,2.5,,,26,6.7,1.2,1.2,,,,4.9,0.7,,,,,,
