,Samples,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
130,73210,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,73220,43.0,45.20,1.86,15,40,10,,21.03,0.27,8.85,0.11,8.97,12.86,0.41,0.16,0.15,,49,250,190,146,,,,,,,,,,,,,4.6,,,,,,,
132,73240,18.0,44.55,1.73,15,46,10,,20.20,0.25,8.45,0.11,11011,12.90,0.46,0.16,0.15,,37,320,160,127,,,,,,,,,,,,,4.6,,,,,,,
133,73260,45.0,44.71,1.90,17,46,10,,19.69,0.24,8.86,0.11,10.95,12.90,0.40,0.16,0.14,,46,450,160,127,,,,,,,,,,,,,5.6,,,,,,,
134,73280,34.0,45.31,1.76,15,42,10,,20.23,0.27,8.82,0.11,9.95,12.10,0.41,0.16,0.14,,46,380,160,117,,,,,,,,,,,,,4.8,,,,,,,
135,74110,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,74120,88.0,44.51,2.56,,,,39.0,19.36,0.26,10.24,0.13,9.93,12.44,0.40,0.134,0.136,0.08,,,167,150,,,,,,25.6,7.55,1.33,,10.4,,,5.79,0.895,,,,,,
137,74220,1.0,38.57,8.81,,,6.25,19.0,6.32,0.75,22.04,0.30,14.44,7.68,0.36,0.09,0.04,0.07,,83,76.4,209,,,,0.16,,17.8,6.53,1.80,,9.40,,,4.43,0.61,,,,,,
138,74240,5.1,40.78,8.61,,,9.95,28.8,12.54,0.41,15.84,0.24,9.15,11.36,0.38,0.12,0.09,0.14,,80,112,163,,,,0.37,,24.0,8.55,1.60,,13.7,,,7.45,,,,,,,
139,74260,5.0,41.22,7.68,56.3,,,,13.25,0.41,15.31,0.23,9.47,11.37,0.38,0.12,0.09,0.12,49.2,160,,,6.7,1.1,0.7,,,,,,,,,,,,,,,,,
140,75060,33.0,39.32,10.31,,,7.07,23.6,10.42,0.48,18.19,0.25,9.53,10.72,0.33,0.08,0.06,0.13,,115,89.5,166,,,,0.21,,23.1,9.09,1.77,,15.5,,,8.36,,,,,,,
141,75080,40.0,40.27,9.41,61,100,7.2,30,11.31,0.46,17.20,0.25,9.59,10.97,0.33,0.08,0.07,0.12,27,100,100,160,7.0,1.3,0.6,,,25,7.6,1.70,2.0,12,,,7.3,1.0,230,5,,,,
142,75110,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,75120,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,76030,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,76120,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,76130,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,76220,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,76240,56.0,,3.31,31,,,34,17.85,,10.92,0.16,11.05,11.97,0.43,0.12,0.09,0.07,37,,,,6.7,0.88,2.7,,,,,1.6,1.8,,,,4.8,,,,,,,
149,76260,58.0,43.64,3.38,30,,,,17.96,0.28,10.93,0.16,10.75,12.11,0.43,0.12,0.11,0.07,32,,,,5.6,,,,,,,1.5,,,,,,,,,,,,
150,76280,45.0,,3.83,,,,,17.80,0.29,11.26,0.16,10.55,12.18,0.43,0.11,0.09,0.07,,169,,150,,,,,,,,,,,,,,,,,,,,
151,76320,93.0,44.08,3.00,,,,,18.41,0.26,10.53,0.15,10.82,12.23,0.46,0.13,0.09,0.07,,210,,151,,,,,,,,,,,,,,,,,,,,
152,76500,58.0,43.41,3.15,,,8.95,24.3,18.63,0.26,10.32,0.14,11.08,12.28,0.35,0.10,0.08,,,203,,151,,,,0.44,,17.4,5.55,1.25,,8.18,,,4.53,,,,,,,
153,77510,80.0,,,,,,,,23,,15,,,,,,,,231,,153,,,,,,,,,,,,,,,,,,,,
154,77530,79.0,43.07,3.91,,,9.96,26.7,17.16,0.3,11.70,0.17,10.19,11.93,0.44,0.11,0.08,0.08,,,123,155,,,,,,19.4,6.47,1.35,,9.55,,,5.26,,,,,,,
155,78120,68.0,,,,,,25.2,1,,113,15,9,,,,0.8,,,,113,154,,,,,,19.2,6.26,1.39,,9.84,,,5.27,0.830,,,,,,
156,78220,93.0,,3.84,,68,,,17.13,0.32,11.68,0.15,10.55,11.79,0.37,0.092,0.080,0.08,34,221,109,147,,,,,,,,,,,,,,,,,,,,
157,78230,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,78250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,78420,,,2.3,37,,,25,9.2,,9.5,0.12,7.1,8.4,0.32,,4,42.,36,,,,5.1,0.79,1.3,,,,1.4,,1.6,,,,5.4,,,,,,,
160,78440,77.0,,1.9,,,24.2,18.6,9.1,,9.6,0.13,6.6,7.9,0.36,,0.8,42.,,,113,149,,,,,,6.08,1.35,,9.18,,,,5.17,0.806,,,,42.0,,
161,78460,83.0,,2.1,,,,23.2,8.5,,10.0,0.12,6.7,7.9,0.30,,0.7,41.,,,109,149,,,,,,17.6,5.88,1.31,,8.88,,,4.88,0.78,,,,41.9,,
162,78480,,,1.8,36,,,24,9.0,,9.3,0.12,6.8,7.6,0.29,,4,41.,38,,,,5.6,0.68,1.6,,,,,1.4,1.7,,,,5.3,,,,,41.9,,
163,78500,36.0,,5.47,,,8.29,23.3,15.73,0.37,13.15,0.18,9.91,11.77,0.35,0.09,0.05,0.10,,194,,154,,,,0.36,,18.4,6.36,1.37,,10.2,,,5.54,,,,,,,
164,79120,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,79220,81.0,41.67,6.52,,,7.46,25.6,13.57,0.42,15.37,0.21,10.22,11.18,0.34,0.09,0.06,0.12,,,,,,,,,,,6.90,1.44,1.78,,,,6.70,0.94,,,,,,
166,79240,51.0,41.73,6.79,56,81,10,,13.9,0.46,15.64,0.20,9.90,11.08,0.39,0.90,0.890,,,275,117,147,,,,,,,,,,,,,6.4,,,,,,,
167,79260,43.0,42.26,6.09,,,8.31,22.2,14.43,0.40,14.60,0.20,9.82,11.48,0.35,0.11,0.07,0.12,,177,,154,,,,0.32,,17.8,6.18,1.39,,10.0,,,5.53,0.71,,,,,,
168,79510,61.0,41.69,6.13,50,85,8.7,29,13.79,0.43,15.11,0.27,10.31,10.73,0.2,0.18,0.06,,37,170,100,,5.6,0.99,,,,21,7.3,1.52,65,10,,,5.7,0.86,150,8,,,,
