,Samples,x,y,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
102,71500,"933521,841360179","611035,235011061",35.0,39.82,9.52,73.0,,,,11.13,0.46,17.41,0.25,9.51,10.85,0.32,0.07,0.06,0.12,33.1,90.0,,,7.1,1.9,0.4,,,,,,,,,,,,,,,,,
103,72130,"930689,137260179","611640,782911061",60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,72140,"929477,961460179","611629,166011061",81.0,43.11,4.37,,,10.2,28.1,16.1,0.37,13.45,0.19,10.25,11.83,0.4,0.12,0.1,0.09,,271.0,,156.0,,,,,,20.7,6.70,1.35,,9.82,,,5.28,,,,,,,
105,72150,"928991,481460179","611493,810111061",82.0,,,44.1,,,,38.0,26.0,,,5.2,1.1,1.0,,,,38.8,265.0,,,5.2,1.1,1.3,,,,,,,,,,,,,,,,,
106,72160,"928991,481460179","611493,810111061",87.0,42.12,5.21,,,9.71,27.0,14.22,0.42,14.86,0.22,10.54,11.17,0.41,0.11,0.08,0.08,,273.0,,150.0,,,,0.41,,,6.94,1.42,,10.4,,,5.51,,,,,,,
107,73120,"926631,006960179","609813,291011061",78.0,45.56,1.39,17.0,50.0,15.6,39,21.23,0.26,8.45,0.11,9.73,12.82,0.39,0.17,0.15,0.09,31.0,280.0,150.0,,5.0,0.78,2.4,0.7,,27,7.2,1.20,1.4,10,,,5.3,0.77,200.0,11.0,,,,
108,73130,"926631,006960179","609813,291111061",16.0,,,15.0,,,,11.0,,,,,,2.0,0.1397,,,119.0,,,,,,2.24,0.63,,,,,,,,,,,,,,,,
109,73140,"926631,006960179","609813,291111061",48.0,45.12,1.56,18.0,45.0,18.0,47,20.64,0.23,8.77,0.11,10.08,12.86,0.4,0.16,0.13,0.09,31.0,250.0,190.0,145.0,6.1,0.84,2.9,1.0,,30,8.2,1.33,1.7,11,,,6.0,0.87,220.0,8.0,,,,
110,73150,"926631,006960179","609813,291111061",68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,74110,"927949,638960179","612092,268111061",31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,74120,"928261,806560179","612441,043711061",88.0,44.51,2.56,,,,39.0,19.36,0.26,10.24,0.13,9.93,12.44,0.4,0.134,0.136,0.08,,,167.0,150.0,,,,,,25.6,7.55,1.33,,10.4,,,5.79,0.895,,,,,,
