,Samples,x,y,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
0,10002,"711775,1317","20448,1830000002",,42.16,7.75,60.2,70.0,15.8,43,13.6,0.3,15.34,0.2,7.76,11.94,0.47,,0.05,0.12,28.0,200.0,170.0,160.0,9.0,1.25,1.90,0.5,,37,11.4,1.60,2.9,17,4.1,,10.0,1.39,,,,,,
1,10010,"711774,8525","20444,6236999999",75.0,41.5,7.58,61.0,47.0,14.9,46,13.21,0.3,15.83,0.24,9.7,12.05,0.44,0.14,0.11,,29.0,197.0,205.0,2.5,,1.6,1.5,,,,12.1,1.66,7.82,,,,9.91,1.46,,,,,,
2,10011,"711777,7837","20433,8761",69.0,41.5,7.58,61.0,47.0,14.9,46,13.21,0.3,15.83,0.24,9.7,12.05,0.44,0.14,0.11,,29.0,197.0,205.0,2.5,,1.6,1.5,,,,12.1,1.66,7.82,,,,9.91,1.46,,,,,,
3,10084,"711775,1317","20448,1830000002",78.0,41.0,7.3,61.7,,16.9,47.3,12.8,0.3,16.2,0.22,9.2,12.4,0.38,0.15,1.6,,26.8,200.0,168.0,,,1.4,,,,41,13.66,1.74,,21.0,4.34.6,,11.35,1.69,,,,,,
4,10085,"711775,1317","20448,1830000002",75.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10086,"711775,1317","20448,1830000002",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10087,"711775,0619","20448,1830000002",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12001,"-710227,584206135","-91345,6215472229",56.0,46.0,2.8,40.2,110.0,35.6,85,12.5,0.41,17.2,0.22,10.4,10.9,0.48,0.26,1.8,,42.5,190.0,430.0,140.0,11.8,1.5,5.4,,,57,17.3,1.85,3.7,22.0,5.0,1.8,13.0,1.85,,,,,,
8,12023,"-710575,488639481","-91593,228762099",60.0,,2.8,35.7,,33,88,13.9,22.0,15.4,10.0,11.0,11.23,6.0,,2.5,1.0,42.0,220.0,423.0,,11.6,1.5,6.3,1.7,,62,15.5,1.8,3.4,,,,12.4,1.74,,,,,2.5,1.5
9,12024,"-710575,488639481","-91593,228762099",30.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12029,"-710104,126280888","-91450,3138678326",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12030,"-710290,547748011","-91327,3744658713",14.0,46.6,3.6,,,,,14.2,0.35,15.4,0.22,9.7,10.4,0.43,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12032,"-710473,018561526","-91539,4011066911",12.0,,2.9,,,,117,15.2,0.26,14.1,0.2,9.4,10.7,0.59,0.36,2.2,,,,529.0,,,,,,,73.0,20.7,2.12,,28.0,,,15.2,2.24,,,,,,
13,12033,"-710375,733716432","-91321,69540131",14.6,48.2,2.33,,,48.5±0.6,127.0±2,15.1,0.37,12.9,0.18,8.43,10.6,0.87,0.54,0.55,,,,,,,,,,,90.0±20,21.5±0.2,2.31±0.02,4.6±0.2,31.8±0.2,6.1±0.3,,17.4±0.5,2.43±0.03,,,,,,
14,12037,"-710481,907532144","-91545,0801712525",21.0,44.8,3.5,,160.0,51.3,136,15.1,0.36,14.9,0.25,10.2,10.5,0.65,0.38,2.4,,,,,,,,,,,80,23.5,1.96,4.6,28.0,7.9,2.6,17.8,2.43,,,,,,
15,12041,"-710365,11633486","-91581,6237171257",63.0,46.8,2.7,,,,,15.4,0.23,14.2,0.2,9.1,10.9,0.43,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12042,"-710272,522890925","-91529,5244726713",61.0,45.7,2.71,,,36.8,111,13.0,0.39,16.2,0.24,10.4,10.6,0.54,0.25,0.33,,,,,,,,,,,79,19.7,2.03,3.87,25.8,4.46,,13.8,2.09,,,,,,
17,12044,"-710155,978609491","-91530,0676875425",57.0,46.7,3.6,37.9,,33.1,94,14.6,0.28,14.2,0.21,9.5,10.6,0.43,0.24,2590.0,,45.5,,380.0,,12.9,1.9,7.4,,,63,20.16.27,2.121.69,3.79,,4.2,,12.9,1.81,,,,,,
18,12060,"-710096,224973672","-91448,0916251782",24.0,45.3,4.2,,,,,12.6,0.23,16.9,0.27,9.6,10.5,0.38,0.25,0.26,0.07,,,,,,,,,,,,,,,,,,,,,,,,
19,12070,"-710226,604258853","-91343,4724630341",47.0,45.7,2.78,,,34.9±0.5,86.3±103,13.0,0.42,16.4,0.23,10.5,10.4,0.48,0.23,0.32,,,,,,,,,,,57.0±0.9,18.1±0.3,1.79±0.04,3.7±0.1,24.3±3,4.90±0.05,,12.9±0.4,1.9±0.03,,,,,,
20,14003,"-529796,524995393","-110532,334600777",66.0,48.08,1.77,27.0,58.0,75,,17.59,0.26,10.45,0.14,9.27,11.12,0.65,0.54,0.58,,308.0,430.0,1000.0,135.0,,,,,,,,,,,,,27,,,,,,,
21,14141,"-528467,404185674","-110093,196738592",5.7,,0.98,21.5,,71.4,200,8.75,,7.9,,25.0,5.7,15.0,,3.3,,31.0,,900.0,,25.0,5.7,15.3,,,104,34.7,2.82,7.4,,,,23.8,3.35,,,,,,
